source,id,title
"miljoeportal_dataset","urn:dmp:ds:adgangsbegraensning","Adgangsbegrænsning"
"miljoeportal_dataset","urn:dmp:ds:aftaler-om-natur-tinglyst","Aftaler om natur, tinglyst"
"miljoeportal_dataset","urn:dmp:ds:afvandingsgroefter-geodanmark","Afvandingsgrøfter, GeoDanmark"
"miljoeportal_dataset","urn:dmp:ds:arealer-ejet-af-folkekirken-2019","Arealer ejet af folkekirken"
"miljoeportal_dataset","urn:dmp:ds:banedanmark-buffer-500m","BaneDanmark Buffer 500m"
"miljoeportal_dataset","urn:dmp:ds:banedanmark-interesseomraader","BaneDanmark Interesseområder"
"miljoeportal_dataset","urn:dmp:ds:bevaringsvaerdige-egekrat","Bevaringsværdige egekrat"
"miljoeportal_dataset","urn:dmp:ds:bevaringsvaerdige-landskaber-forslag","Bevaringsværdige landskaber, forslag"
"miljoeportal_dataset","urn:dmp:ds:bevaringsvaerdige-landskaber-vedtaget","Bevaringsværdige landskaber, vedtaget"
"miljoeportal_dataset","urn:dmp:ds:blank-seglmos","NP3 - Blank seglmos"
"miljoeportal_dataset","urn:dmp:ds:bred-vandkalv","NP3 - Bred Vandkalv"
"miljoeportal_dataset","urn:dmp:ds:bykerne-geodanmark","Bykerne, GeoDanmark"
"miljoeportal_dataset","urn:dmp:ds:chr-2023-fvm","Det centrale husdyrbrugsregister, 2023"
"miljoeportal_dataset","urn:dmp:ds:co2-lavbund-potentiale-transform","TRANSFORM-projektet, CO2 lavbund  potentiale"
"miljoeportal_dataset","urn:dmp:ds:damflagermus","NP3 - Damflagermus"
"miljoeportal_dataset","urn:dmp:ds:diger-geodanmark","Diger, GeoDanmark"
"miljoeportal_dataset","urn:dmp:ds:diger-paa-4cm-kort","Diger på 4 cm kort"
"miljoeportal_dataset","urn:dmp:ds:digitalt-skovkort-2022","Digitalt Skovkort 2022"
"miljoeportal_dataset","urn:dmp:ds:dyrkningsvaerdi-potentiale-transform","TRANSFORM-projektet, Dyrkningsværdi potentiale"
"miljoeportal_dataset","urn:dmp:ds:efterafgroedekrav-n-foelsom-habitat-2018-19","Efterafgrødekrav N-følsom habitat 2018/19"
"miljoeportal_dataset","urn:dmp:ds:ejerlavsgraenser","Ejerlavsgrænser"
"miljoeportal_dataset","urn:dmp:ds:ejerlejlighed-gaeldende","Ejerlejlighed, gældende"
"miljoeportal_dataset","urn:dmp:ds:el-luftlednings-trace","El Luftlednings-trace"
"miljoeportal_dataset","urn:dmp:ds:el-opmaerksomhedszoner-kabel","El Opmærksomhedszoner Kabel"
"miljoeportal_dataset","urn:dmp:ds:el-opmaerksomhedszoner-luftledning","El Opmærksomhedszoner Luftledning"
"miljoeportal_dataset","urn:dmp:ds:el-stationsarealer","El Stationsarealer"
"miljoeportal_dataset","urn:dmp:ds:enkelt-maanerude","NP3 - Enkelt månerude"
"miljoeportal_dataset","urn:dmp:ds:eremit","NP3 - Eremit"
"miljoeportal_dataset","urn:dmp:ds:erhverv-geodanmark","Erhverv, GeoDanmark"
"miljoeportal_dataset","urn:dmp:ds:feltmaaling-hydrometri","Feltmåling Hydrometri"
"miljoeportal_dataset","urn:dmp:ds:ferskvandsdambrug-vandomraadeplaner-2021-2027","VP3 - Ferskvandsdambrug brugt i Vandområdeplanerne 2021-2027"
"miljoeportal_dataset","urn:dmp:ds:flodlampret","NP3 - Flodlampret"
